M3 Nv,M3 Ne,G3 Nv,G3 Ne,Laplacian Determinant,Zero Eigenvalue Multiplicity,n - rank(Lap),M1 Edge,M2 Edge,M1 Vertex,M2 Vertex,Incidence Matrix Row Sum,Incidence Matrix Column Sum,Laplacian Matrix Row Sum,Laplacian Matrix Column Sum,Laplacian Eigenvalue 1,Laplacian Eigenvalue 2,Laplacian Eigenvalue 3,Laplacian Eigenvalue 4,Laplacian Eigenvalue 5,Laplacian Eigenvalue 6,Laplacian Eigenvalue 7,Laplacian Eigenvalue 8
8,10,8,6,14,0,0,5,2,4,9,-4,-4,8,8,0.301964311181612,0.548118319782654,1,1,1.72030613953684,2.49870271713575,3.95317896308159,4.97772954928155
8,10,7,7,14,0,0,5,3,2,7,1,1,7,7,0.196217052828407,0.71797164927889,0.999999999999999,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,5,3,2,9,-2,-2,2,2,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101718,5.51291091255454
8,10,7,5,14,0,0,5,3,4,7,-1,-1,5,5,0.357037596762464,0.730924944949315,1,1,1.63017205151138,2,3.30841704172295,4.9734483650539
8,10,8,6,14,0,0,5,3,4,9,-4,-4,8,8,0.253935194094271,0.579209334247199,1,1.36961333677454,1.69521980400015,2,4.08894118577319,5.01308114511066
8,10,8,7,9,0,0,5,4,2,7,1,1,3,3,0.122596254299963,0.697224362268006,1,1,1.52354796026921,3,4.30277563773199,5.35385578543083
8,10,8,9,9,0,0,5,4,2,10,1,1,5,5,0.0771021318815273,0.428681465506653,0.768080112328979,1.45402972119975,3,3.31884363132146,4.44857211140752,5.50469082635411
8,10,8,5,9,0,0,5,4,4,7,-1,-1,9,9,0.214566198039555,0.679415034833914,1,1,1.6875786473034,2.45865859389612,3,4.95978152592701
8,10,8,7,9,0,0,5,4,4,10,-1,-1,3,3,0.0980586991691506,0.553453780474464,1,1.46848747708757,1.8855492986083,3,3.98622161623426,5.00822912842626
8,10,7,7,14,0,0,6,1,3,7,1,1,7,7,0.196217052828407,0.71797164927889,1,1,1.48666645238333,2.84125867520503,4.35220011052755,5.4056860597768
8,10,8,8,14,0,0,6,1,3,8,0,0,2,2,0.170177547998169,0.523732759364279,0.772835090984431,1.44046210401396,1.65818153254166,3.45779940152579,4.46390065101718,5.51291091255454
